epoch,train_loss,val_loss,val_auc,val_accuracy
1,194.3156902194023,33.8300,0.8967323779407477,0.7716378162450066
2,162.07683897018433,32.2782,0.9084123887057346,0.7443408788282291
3,151.1812528669834,29.5136,0.9221467178003544,0.833555259653795
4,139.39943653345108,31.3641,0.9235955056179777,0.7816245006657789
5,125.87405759096146,36.9923,0.904187131355267,0.8521970705725699
6,116.64049659669399,32.7039,0.9180246249074884,0.7909454061251664
7,103.49469341337681,31.3017,0.9274574446612392,0.8521970705725699
